"","A1","A2","A3","A1","A2","A3"
"135",1,0,1,0.6113,0.0205,0.8533
"136",1,1,1,0.9971,0.9928,0.9943
"137",1,0,1,0.8386,0.2575,0.7186
"138",1,0,1,0.9172,0.229,0.95
"139",1,0,1,0.7754,0.2043,0.696
"140",0,1,0,0.447,0.6091,0.1343
"141",0,1,0,0.3952,0.765,0.4397
"142",0,0,0,0.4969,0.4516,0.3939
"143",1,0,1,0.9313,0.0197,0.9741
"144",1,0,1,0.9345,0.0652,0.9702
"145",0,1,0,0.367,0.5475,0.1476
"146",1,1,1,0.9521,0.5535,0.9591
"147",0,0,1,0.1122,0.3724,0.5778
"148",1,0,1,0.622,0.0275,0.8532
"149",1,1,0,0.5702,0.7239,0.0272
"150",1,1,0,0.5914,0.6006,0.2211
"151",1,1,0,0.7638,0.8464,0.1398
"152",1,0,1,0.9281,0.4699,0.9514
"153",1,1,1,0.9676,0.892,0.993
"154",1,0,1,0.5392,0.1999,0.7122
"155",1,1,1,0.72,0.7751,0.5613
"156",1,1,1,0.9598,0.8717,0.8904
"157",1,0,1,0.7754,0.2043,0.696
"158",1,0,0,0.6707,0.0582,0.4646
"159",0,0,1,0.3324,0.4051,0.5265
"160",1,0,1,0.6016,0.3846,0.68
"161",1,1,1,0.8758,0.9255,0.7679
"162",1,1,1,0.9969,0.9897,0.9985
"163",1,1,0,0.6927,0.7827,0.0852
"164",1,1,1,0.9183,0.7117,0.6727
"165",1,1,1,0.9591,0.5078,0.9861
"166",1,1,1,0.9,0.5974,0.8922
"167",0,1,0,0.4249,0.5905,0.0805
"168",1,0,1,0.9215,0.2309,0.8886
"169",1,1,1,0.9891,0.9043,0.9816
"170",1,0,0,0.7176,0.0893,0.1628
"171",1,0,1,0.936,0.1104,0.9725
"172",1,1,1,0.9593,0.7784,0.9831
"173",1,1,0,0.5879,0.6005,0.2207
"174",1,1,1,0.9738,0.7561,0.9647
"175",1,1,1,0.9969,0.9897,0.9985
"176",0,1,1,0.2913,0.609,0.647
"177",1,0,1,0.6016,0.3846,0.68
"178",1,0,1,0.9042,0.0737,0.94
"179",1,0,1,0.5829,0.3082,0.7013
"180",1,0,1,0.8103,0.3917,0.7676
"181",1,0,1,0.5429,0.1937,0.71
"182",1,0,1,0.931,0.0409,0.9747
"183",1,1,0,0.6522,0.7712,0.166
"184",1,1,1,0.8642,0.5477,0.9707
"185",1,0,1,0.775,0.2156,0.7003
"186",1,0,1,0.9034,0.0662,0.9395
"187",1,1,0,0.5213,0.5363,0.2488
"188",1,1,1,0.9835,0.9588,0.9776
"189",1,1,1,0.9676,0.7165,0.974
"190",1,1,1,0.9969,0.9897,0.9985
"191",0,0,0,0.3577,0.4076,0.4652
"192",1,1,1,0.9992,0.9974,0.9989
"193",1,1,1,0.6625,0.8018,0.8969
"194",1,0,1,0.9057,0.0206,0.8475
"195",1,0,1,0.6652,0.0623,0.5652
"196",1,1,1,0.9821,0.8681,0.9879
"197",1,1,1,0.6272,0.9008,0.7634
"198",1,1,0,0.8842,0.9168,0.0272
"199",1,1,1,0.998,0.9856,0.9942
"200",1,0,1,0.9313,0.0197,0.9741
"201",1,1,0,0.8613,0.7642,0.4625
"202",1,1,1,0.9442,0.9552,0.8164
"203",1,1,1,0.9947,0.9884,0.9901
"204",1,0,1,0.9347,0.0935,0.9761
"205",1,0,1,0.5926,0.2962,0.6341
"206",1,0,1,0.7789,0.2167,0.7008
"207",0,0,1,0.2842,0.4477,0.6965
"208",1,0,1,0.8044,0.3097,0.6267
"209",1,0,1,0.9348,0.0686,0.9737
"210",1,1,1,0.6991,0.694,0.8876
"211",1,0,1,0.8432,0.2945,0.7326
"212",1,1,1,0.9825,0.8725,0.9883
"213",1,0,0,0.735,0.1439,0.1621
"214",1,0,1,0.5478,0.2288,0.7168
"215",1,0,1,0.8496,0.4759,0.5944
"216",1,1,1,0.998,0.9856,0.9942
"217",1,0,1,0.9321,0.028,0.9699
"218",0,0,0,0.3819,0.4281,0.4519
"219",1,0,1,0.906,0.0165,0.8468
"220",0,1,0,0.2355,0.6751,0.2253
"221",1,1,1,0.5896,0.7589,0.9115
"222",1,1,1,0.9449,0.5939,0.9737
"223",1,1,1,0.9969,0.9897,0.9985
"224",1,1,1,0.9974,0.9914,0.9965
"225",1,1,1,0.9909,0.9696,0.9974
"226",0,0,0,0.4794,0.4301,0.3701
"227",1,1,1,0.9707,0.7838,0.9835
"228",0,1,0,0.4661,0.5327,0.3484
"229",1,1,1,0.9913,0.9361,0.9916
"230",1,0,1,0.9384,0.1268,0.973
"231",1,1,0,0.898,0.9339,0.2276
"232",1,0,1,0.9064,0.1281,0.9435
"233",1,0,1,0.9312,0.0145,0.9722
"234",1,1,1,0.9867,0.8832,0.953
"235",1,1,1,0.9882,0.9321,0.9938
"236",1,1,1,0.9,0.5974,0.8922
"237",1,1,1,0.8775,0.5819,0.643
"238",1,0,1,0.9118,0.1478,0.9264
"239",1,1,1,0.978,0.9042,0.8409
"240",1,1,0,0.6809,0.8584,0.4038
"241",1,1,0,0.6022,0.6194,0.396
"242",1,1,1,0.7464,0.7716,0.5544
"243",1,0,1,0.5404,0.2061,0.7084
"244",1,1,1,0.9565,0.6824,0.9709
"245",1,1,1,0.8922,0.7641,0.9099
"246",1,0,1,0.9395,0.1416,0.9758
"247",1,0,1,0.8627,0.3717,0.7757
"248",1,0,1,0.9305,0.0051,0.9737
"249",1,1,1,0.7107,0.6024,0.7976
"250",1,1,1,0.9675,0.6816,0.872
"251",1,0,1,0.798,0.2881,0.6803
"252",1,0,1,0.6079,0.3882,0.7799
"253",1,1,1,0.8048,0.5153,0.8868
"254",1,0,1,0.7025,0.482,0.5835
"255",1,0,1,0.9199,0.0798,0.8789
"256",0,1,0,0.4229,0.5889,0.077
"257",1,0,1,0.5953,0.3008,0.6365
"258",1,1,1,0.9922,0.9742,0.9976
"259",1,0,0,0.7627,0.3058,0.0645
"260",0,0,1,0.3303,0.0914,0.7064
"261",1,1,1,0.9622,0.9172,0.9293
"262",1,1,1,0.9924,0.9746,0.9963
"263",1,0,1,0.6433,0.4373,0.7301
"264",1,0,1,0.9086,0.119,0.9329
"265",0,0,0,0.4581,0.4699,0.2695
"266",1,1,1,0.9639,0.7364,0.9758
"267",1,0,1,0.9321,0.0377,0.9746
"268",1,1,0,0.7495,0.7625,0.2684
"269",1,1,1,0.9949,0.9626,0.9928
"270",0,1,0,0.3599,0.5568,0.1651
"271",1,1,0,0.5676,0.5822,0.2324
"272",1,1,1,0.9969,0.9897,0.9985
"273",1,0,1,0.6317,0.0498,0.832
"274",0,0,0,0.4632,0.4813,0.2852
"275",1,1,1,0.9448,0.8399,0.9134
"276",1,0,1,0.7754,0.2043,0.696
"277",1,1,1,0.9457,0.5998,0.9695
"278",1,0,1,0.909,0.1093,0.923
"279",1,1,1,0.964,0.6884,0.9549
"280",1,1,1,0.5367,0.7189,0.5447
"281",0,0,1,0.2974,0.1914,0.7703
"282",1,1,1,0.9928,0.961,0.9925
"283",1,1,1,0.6625,0.8018,0.8969
"284",1,1,1,0.998,0.9933,0.9987
"285",1,1,1,0.9194,0.7317,0.9796
"286",1,0,1,0.5451,0.2103,0.7159
"287",0,0,0,0.3834,0.4295,0.4532
"288",1,1,1,0.8754,0.7274,0.8776
"289",0,1,0,0.3679,0.5458,0.1444
"290",1,0,1,0.9314,0.0182,0.9687
"291",1,1,1,0.9928,0.961,0.9925
"292",1,0,1,0.9059,0.1756,0.9466
"293",1,0,1,0.6701,0.2047,0.8511
"294",1,0,1,0.9095,0.1282,0.9435
"295",0,1,0,0.1658,0.7426,0.2991
"296",1,0,1,0.9615,0.4509,0.9729
"297",1,1,1,0.9705,0.7228,0.9599
"298",1,1,0,0.7144,0.6931,0.2309
"299",1,1,1,0.9848,0.8883,0.9785
"300",1,1,0,0.661,0.6947,0.4045
"301",1,0,1,0.9044,0.1096,0.9423
"302",1,0,1,0.9003,0.072,0.9399
"303",1,1,1,0.9024,0.6663,0.6211
"304",1,0,1,0.8126,0.347,0.6469
"305",1,0,1,0.7888,0.2516,0.6639
"306",1,0,0,0.7199,0.1941,0.4543
